ORF,WT_Ribo,ncs2_Ribo,uba4_Ribo,ncs2_RNA,uba4_RNA,WT_RNA
YCL037C,633,663,787,4496,3046,3561
YCL038C,80,90,158,930,666,671
YCL039W,141,103,152,1139,841,852
YCL040W,974,840,1424,7052,5667,4505
YCL042W,125,117,156,1249,1094,828
YCL043C,5337,5743,7322,37968,23537,25757
YCL044C,167,182,250,1128,763,735
YCL045C,787,838,1072,7099,4500,4796
YCL047C,91,76,101,1003,627,535
YCL048W,2,1,0,41,28,16
YCL048W-A,0,0,0,32,19,18
YCL049C,92,93,149,824,580,585
YCL050C,859,846,1103,3863,2239,2557
YCL051W,44,42,60,1081,753,832
YCL052C,176,191,229,1934,1310,1512
YCL054W,584,598,739,4247,2612,2994
YCL054W-A,0,4,1,203,144,278
YCL055W,151,195,260,960,692,714
YCL056C,18,10,29,263,244,247
YCL057C-A,475,337,544,3981,2944,2573
YCL057W,1107,1409,2198,10953,7600,6713
YCL058C,469,323,512,2678,2027,1614
YCL058W-A,21,31,21,380,249,364
YCL059C,136,82,127,1018,711,1036
YCL061C,78,80,118,1391,786,978
YCL063W,198,172,208,1734,1102,1252
YCL064C,4,7,9,182,136,152
YCL068C,7,10,9,134,111,118
YCL069W,0,2,1,10,3,2
YCL073C,11,5,3,114,103,95
YCR002C,475,415,572,2563,1711,1893
YCR003W,352,369,436,1611,1054,1241
YCR004C,893,924,1342,5485,4092,3899
YCR005C,1470,730,1051,5485,3336,7305
YCR007C,3,1,1,76,56,36
YCR008W,89,68,147,2420,1791,2146
YCR009C,241,194,311,1844,1224,1490
YCR010C,0,0,4,13,5,12
YCR011C,316,271,407,3107,2388,2596
YCR012W,19386,12673,17263,103549,66557,93262
YCR014C,6,21,45,513,416,404
YCR015C,34,30,37,4777,3141,4409
YCR016W,136,112,160,809,578,687
YCR017C,521,497,755,4371,3148,3251
YCR018C,33,14,11,134,119,435
YCR019W,62,64,97,727,482,435
YCR020C,15,18,23,532,433,404
YCR020C-A,61,65,81,1100,728,847
YCR020W-B,15,34,33,453,373,446
YCR021C,11,25,16,74,44,45
YCR023C,71,51,97,1536,1132,1244
YCR024C,159,119,178,1005,732,884
YCR024C-A,198,119,177,9447,6274,9528
YCR024C-B,198,122,175,15999,10315,13817
YCR026C,209,277,304,2576,1678,1671
YCR027C,44,57,63,592,378,483
YCR028C,118,93,134,1009,759,710
YCR028C-A,276,180,253,1851,1207,1531
YCR030C,616,592,726,4213,2870,3493
YCR031C,12914,10668,13302,59419,40498,42715
YCR032W,106,92,108,1826,1286,1409
YCR033W,156,156,223,3426,2369,2395
YCR034W,1136,809,989,3584,2214,2608
YCR035C,698,464,645,1955,1318,1360
YCR036W,168,247,341,1798,1301,1209
YCR037C,139,157,216,1601,1034,1015
YCR038C,26,37,30,398,260,389
YCR039C,10,8,11,317,192,307
YCR040W,0,0,0,28,12,22
YCR041W,0,0,0,32,12,21
YCR042C,247,226,312,3232,2286,2110
YCR043C,76,63,111,1945,1390,1447
YCR044C,154,156,177,1971,1409,1389
YCR045C,0,0,0,42,20,39
YCR046C,194,197,335,2998,2240,2481
YCR047C,258,290,329,2323,1473,1502
YCR048W,93,92,130,1967,1335,1267
YCR050C,0,0,0,5,6,10
YCR051W,420,293,477,2517,1671,2240
YCR052W,271,198,330,1826,1256,1271
YCR053W,1722,1830,2236,9556,6305,6646
YCR054C,71,89,117,683,393,449
YCR057C,302,385,448,4526,2976,3129
YCR059C,117,103,155,1920,1160,1472
YCR060W,57,92,121,1210,732,830
YCR061W,313,406,522,2218,1391,1468
YCR063W,37,32,45,512,351,412
YCR065W,90,67,116,1707,1200,1423
YCR066W,15,15,44,333,200,231
YCR067C,326,377,486,4529,3041,3192
YCR068W,101,85,135,990,734,917
YCR069W,251,288,328,1676,1279,1315
YCR071C,135,104,172,1278,956,1033
YCR072C,151,174,234,1024,739,762
YCR073C,27,16,30,623,446,407
YCR073W-A,255,254,413,1519,1223,1085
YCR075C,57,57,76,569,485,377
YCR075W-A,26,37,58,478,344,468
YCR076C,93,44,120,670,550,558
YCR077C,448,410,441,3923,2671,3228
YCR079W,53,54,43,800,535,628
YCR081W,79,82,119,1408,1008,1112
YCR082W,315,328,567,3852,2736,2649
YCR083W,140,144,221,713,558,415
YCR084C,773,709,955,8500,5653,6877
YCR086W,87,80,128,626,471,528
YCR087C-A,122,118,171,1305,950,994
YCR088W,1280,1402,1786,5201,3674,4279
YCR089W,5,11,8,939,505,596
YCR090C,105,118,145,1037,803,1012
YCR091W,22,29,53,522,388,483
YCR092C,52,70,70,987,667,801
YCR093W,886,882,1084,12613,8643,8863
YCR094W,71,70,151,1379,970,962
YCR095C,35,23,35,481,340,375
YCR095W-A,0,0,1,52,43,39
YCR098C,116,33,41,332,282,763
YCR099C,8,6,8,198,122,132
YCR100C,29,22,42,404,255,277
YCR101C,17,9,14,151,83,106
YCR102C,14,25,32,439,310,230
YCR104W,1,3,2,68,55,42
YCR105W,0,0,0,1,0,0
YCR106W,0,1,0,36,37,10
YCR107W,5,19,27,230,243,167
YCR108C,0,0,1,4,0,11
YDL001W,75,61,89,495,387,422
YDL002C,116,111,166,942,663,904
YDL003W,337,339,438,2119,1365,1687
YDL004W,626,521,800,7424,5887,6489
YDL005C,94,91,126,1248,862,1004
YDL006W,113,129,169,1019,832,847
YDL007C-A,0,0,0,0,0,0
YDL007W,1463,1896,2729,97422,54679,42872
YDL008W,133,121,172,924,561,888
YDL009C,0,0,0,3,0,0
YDL010W,103,86,107,638,462,710
YDL012C,199,223,358,1032,747,910
YDL013W,64,83,85,1217,869,888
YDL014W,1686,1616,2220,12593,8347,9101
YDL015C,280,312,397,2651,1677,2045
YDL017W,66,87,103,727,462,420
YDL018C,156,121,196,949,634,846
YDL019C,376,323,456,4514,3093,3446
YDL020C,142,133,232,2074,1627,1675
YDL021W,25,27,51,99,93,130
YDL022C-A,0,1,1,1,5,7
YDL022W,753,784,1362,4154,2892,2264
YDL024C,7,4,2,63,36,48
YDL025C,91,94,117,1212,877,1008
YDL027C,84,78,89,813,656,782
YDL028C,58,65,100,1297,949,963
YDL029W,649,611,955,5083,3687,3775
YDL030W,70,96,108,819,520,425
YDL031W,387,366,478,3568,2303,3043
YDL033C,38,20,56,720,504,605
YDL035C,92,62,111,1273,944,953
YDL036C,47,66,98,909,642,785
YDL037C,0,0,0,287,199,288
