Genes	WT_1	WT_2	WT_3	ncs2_1	ncs2_2	ncs2_3	uba4_1	uba4_2	uba4_3
YBR236C	64	98	29	114	51	21	134	71	63
YBR237W	17	16	7	19	3	3	32	13	20
YBR238C	37	59	17	74	37	16	62	39	38
YBR239C	10	13	4	9	10	2	12	10	3
YBR240C	3	2	1	1	4	0	2	2	1
YBR241C	23	56	12	57	18	16	48	44	22
YBR242W	42	64	20	55	35	14	65	47	26
YBR243C	86	91	41	93	52	25	152	69	73
YBR244W	6	19	3	4	5	0	11	10	1
YBR245C	184	214	80	318	139	61	345	186	153
YBR246W	31	36	14	53	19	6	77	32	40
YBR247C	107	129	34	132	100	32	198	90	82
YBR248C	389	487	139	610	284	114	644	380	299
YBR249C	825	1137	250	1283	566	215	1317	967	859
YBR250W	2	1	0	0	0	0	1	0	0
YBR251W	73	129	35	107	69	19	159	96	74
YBR252W	128	177	51	206	67	21	224	110	110
YBR253W	6	22	4	22	8	5	24	18	19
YBR254C	53	71	21	71	47	15	84	59	37
YBR255C-A	12	32	8	50	35	5	45	22	35
YBR255W	8	22	0	18	11	4	19	18	10
YBR256C	46	69	16	82	59	13	107	52	76
YBR257W	20	23	7	26	7	0	31	14	9
YBR258C	2	5	3	18	4	4	15	4	2
YBR259W	12	14	1	11	14	0	22	11	2
YBR260C	129	162	47	153	85	38	179	105	66
YBR261C	150	173	60	201	85	34	208	130	95
YBR262C	71	88	21	95	46	16	128	60	57
YBR263W	520	716	236	788	431	168	797	498	439
YBR264C	20	40	5	31	14	12	37	26	7
YBR265W	63	80	38	96	50	20	104	66	51
YBR267W	66	82	33	145	59	23	134	67	82
YBR268W	37	41	17	78	31	16	79	37	50
YBR269C	19	34	10	26	19	6	38	24	26
YBR270C	1	4	2	0	1	1	7	0	2
YBR271W	32	49	12	61	20	14	59	29	37
YBR272C	49	82	22	65	43	9	63	47	39
YBR273C	94	177	39	122	57	22	171	84	60
YBR274W	20	35	11	41	12	11	43	27	15
YBR275C	38	100	21	75	35	15	105	39	34
YBR276C	28	32	10	35	16	6	38	18	13
YBR278W	16	13	4	43	5	7	31	16	17
YBR279W	134	139	34	121	65	29	166	119	78
YBR280C	21	37	8	31	28	6	52	21	25
YBR281C	105	135	44	137	112	39	159	91	65
YBR282W	53	85	10	71	24	10	79	46	48
YBR283C	420	592	158	707	362	164	708	490	334
YBR284W	8	7	5	21	12	2	17	10	10
YBR285W	5	8	0	1	1	1	8	1	5
YBR286W	547	688	228	808	447	175	939	571	467
YBR287W	73	173	37	120	52	21	161	91	74
YBR288C	71	112	31	126	62	28	136	88	64
YBR289W	82	95	26	92	49	18	115	53	50
YBR290W	30	36	12	39	20	9	60	30	18
YBR291C	188	202	81	265	172	58	305	223	179
YBR293W	8	14	3	10	1	1	7	10	9
YBR294W	1038	1692	411	1242	678	244	1367	901	712
YBR295W	9	14	1	5	1	1	12	11	8
YBR296C	300	407	109	115	73	32	237	94	65
YBR296C-A	0	0	0	0	0	0	0	0	0
YBR297W	51	58	25	106	44	23	94	77	70
YBR298C	0	2	0	4	3	0	3	0	0
YBR298C-A	0	0	0	0	0	0	0	0	0
YBR299W	177	200	71	203	135	49	215	220	146
YBR301W	0	0	1	0	0	0	0	1	0
YBR302C	74	92	31	138	51	22	134	86	47
YCL001W	68	45	15	84	37	17	78	44	41
YCL001W-A	0	0	0	0	0	0	0	0	0
